Feature,Importance
ST slope_1,0.12930851483542938
oldpeak,0.11260629897931043
max heart rate,0.11091965783777304
chest pain type_4,0.11002320159955674
cholesterol,0.0989094041921019
age,0.08856596697096374
resting bp s,0.08073735221570794
ST slope_2,0.07888944874019164
exercise angina,0.058245925286978764
sex,0.03817822894101879
chest pain type_2,0.022198668971502078
fasting blood sugar,0.020879904252571954
resting ecg_2,0.02065874805877855
chest pain type_3,0.012370928904157521
resting ecg_1,0.009467583436271368
ST slope_3,0.008040166777686101
